Magnitude,Uncertainty,Kmag,Cmag,Comp Star 1,Comp Star 2
184,,,,78,39
174,,,,75,38
174,,,,-1,-1
183,,,,-1,-1
183,,,,-1,-1
185,,,,-1,-1
183,,,,69,15
181,,,,-1,-1
180,,,,-1,-1
181,,,,-1,-1
180,,,,69,15
182,,,,80,-1
180,,,,53,1
180,,,,57,36
181,,,,56,13
180,,,,56,13
180,,,,56,13
178,,,,57,36
171,,,,-1,-1
171,,,,-1,-1
173,,,,56,-1
178,,,,-1,-1
181,,,,-1,-1
180,,,,51,-1
180,,,,56,13
173,,,,-1,-1
172,,,,-1,-1
173,,,,56,13
183,,,,71,17
180,,,,56,13
180,,,,70,16
180,,,,56,13
181,,,,-1,-1
173,,,,-1,-1
181,,,,-1,-1
181,,,,-1,-1
180,,,,49,-1
183,,,,-1,-1
181,,,,56,13
192,,,,8,18
185,,,,-1,-1
192,,,,-1,-1
192,,,,64,3
188,,,,61,-1
195,,,,72,18
196,,,,73,18
183,,,,69,15
192,,,,-1,-1
192,,,,60,-1
188,,,,71,16
192,,,,-1,-1
196,,,,-1,-1
192,,,,78,39
188,,,,71,17
196,,,,71,19
192,,,,8,18
177,,,,75,38
192,,,,-1,-1
192,,,,-1,-1
192,,,,73,18
192,,,,71,19
189,,,,-1,-1
196,,,,73,18
192,,,,8,18
188,,,,-1,-1
178,,,,56,13
180,,,,-1,-1
176,,,,81,-1
168,,,,-1,-1
176,,,,56,13
171,,,,81,-1
169,,,,78,39
170,,,,-1,-1
171,,,,-1,-1
178,,,,81,-1
172,,,,56,-1
176,,,,56,-1
180,,,,-1,-1
176,,,,52,-1
176,,,,50,-1
178,,,,56,13
179,,,,78,39
180,,,,56,13
181,,,,-1,-1
180,,,,-1,-1
181,,,,81,-1
186,,,,71,16
183,,,,56,13
196,,,,-1,-1
186,,,,71,16
186,,,,61,-1
196,,,,71,18
198,,,,71,18
188,,,,-1,-1
192,,,,-1,-1
192,,,,-1,-1
196,,,,72,20
196,,,,-1,-1
0,,,,67,4
192,,,,61,-1
192,,,,73,18
188,,,,69,16
196,,,,65,-1
196,,,,81,-1
198,,,,-1,-1
0,,,,72,20
0,,,,-1,-1
198,,,,77,19
1,,,,-1,-1
196,,,,81,-1
0,,,,8,18
1,,,,-1,-1
198,,,,-1,-1
1,,,,-1,-1
1,,,,-1,-1
196,,,,81,-1
0,,,,-1,-1
0,,,,-1,-1
194,,,,78,39
198,,,,-1,-1
192,,,,81,-1
198,,,,-1,-1
192,,,,66,-1
189,,,,-1,-1
188,,,,71,18
188,,,,71,17
183,,,,-1,-1
185,,,,-1,-1
186,,,,72,17
189,,,,-1,-1
191,,,,78,39
196,,,,-1,-1
3,,,,-1,-1
0,,,,-1,-1
198,,,,68,-1
1,,,,8,21
1,,,,-1,-1
3,,,,77,19
3,,,,-1,-1
5,,,,77,19
1,,,,-1,-1
3,,,,-1,-1
6,,,,1,-1
3,,,,77,19
5,,,,-1,-1
4,,,,78,39
1,,,,-1,-1
5,,,,-1,-1
3,,,,8,21
3,,,,-1,-1
3,,,,-1,-1
5,,,,1,-1
3,,,,-1,-1
198,,,,81,-1
3,,,,-1,-1
0,,,,77,19
198,,,,74,41
198,,,,-1,-1
189,,,,-1,-1
180,,,,-1,-1
181,,,,81,-1
176,,,,56,13
178,,,,56,13
173,,,,69,12
173,,,,-1,-1
172,,,,-1,-1
181,,,,56,13
180,,,,50,-1
173,,,,69,12
181,,,,81,-1
180,,,,-1,-1
183,,,,59,17
181,,,,48,0
181,,,,69,16
180,,,,56,13
176,,,,-1,-1
183,,,,-1,-1
181,,,,56,13
189,,,,62,3
195,,,,-1,-1
192,,,,64,3
181,,,,56,15
192,,,,72,18
192,,,,72,17
188,,,,-1,-1
195,,,,64,3
195,,,,72,18
195,,,,73,18
190,,,,78,39
192,,,,-1,-1
196,,,,-1,-1
196,,,,72,17
192,,,,-1,-1
0,,,,-1,-1
0,,,,8,18
196,,,,73,18
196,,,,-1,-1
196,,,,72,18
0,,,,8,18
0,,,,-1,-1
192,,,,81,-1
0,,,,-1,-1
198,,,,-1,-1
192,,,,73,18
198,,,,77,19
5,,,,-1,-1
0,,,,-1,-1
198,,,,73,18
198,,,,-1,-1
0,,,,-1,-1
197,,,,78,39
195,,,,-1,-1
195,,,,81,-1
0,,,,0,-1
0,,,,8,18
0,,,,-1,-1
198,,,,-1,-1
196,,,,81,-1
198,,,,-1,-1
0,,,,-1,-1
198,,,,-1,-1
198,,,,-1,-1
198,,,,-1,-1
3,,,,-1,-1
0,,,,78,39
198,,,,-1,-1
1,,,,-1,-1
0,,,,-1,-1
198,,,,77,19
3,,,,8,21
0,,,,-1,-1
196,,,,73,18
196,,,,-1,-1
188,,,,72,17
186,,,,-1,-1
176,,,,-1,-1
171,,,,56,15
178,,,,-1,-1
175,,,,78,39
176,,,,-1,-1
178,,,,-1,-1
188,,,,71,17
0,,,,-1,-1
196,,,,77,19
192,,,,-1,-1
193,,,,78,39
189,,,,-1,-1
183,,,,59,14
181,,,,48,0
180,,,,56,15
180,,,,56,13
178,,,,-1,-1
176,,,,56,13
180,,,,59,14
176,,,,56,15
178,,,,-1,-1
178,,,,-1,-1
178,,,,-1,-1
176,,,,58,37
181,,,,50,-1
173,,,,56,13
173,,,,-1,-1
172,,,,-1,-1
178,,,,-1,-1
178,,,,-1,-1
172,,,,56,15
171,,,,56,13
172,,,,-1,-1
176,,,,56,13
171,,,,47,11
173,,,,-1,-1
170,,,,-1,-1
167,,,,81,-1
176,,,,59,-1
167,,,,-1,-1
167,,,,81,-1
176,,,,59,-1
