Magnitude,Uncertainty,Kmag,Cmag,Comp Star 1,Comp Star 2
114,,,,17,0
121,,,,-1,-1
120,0.02,,,23,-1
125,0.05,10.12,9.75,-1,-1
112,0.05,9.8,9.45,-1,-1
125,,,,-1,-1
124,,,,-1,-1
116,,,,20,1
126,0.003,,,22,-1
129,,,,-1,-1
124,,,,-1,-1
124,,,,22,-1
113,0.01,,,19,-1
130,0.01,,,19,-1
20,0.01,,,19,-1
0,,,,-1,-1
125,,,,20,1
129,,,,21,9
134,0.08,,,26,-1
125,,,,22,-1
121,,,,-1,-1
115,0.01,,,15,-1
131,0.01,,,15,-1
22,0.02,,,15,-1
0,,,,-1,-1
1,0.05,10.12,9.75,-1,-1
116,0.05,9.8,9.45,-1,-1
0,,,,24,10
133,,,,22,2
125,,,,21,8
125,,,,20,1
13,,,,1,3
7,,,,-1,-1
118,0.016,,,16,-1
4,0.015,,,16,-1
28,0.05,,,16,-1
128,,,,20,1
7,,,,22,2
133,,,,24,10
133,,,,22,2
17,,,,-1,-1
117,0.05,,,25,-1
3,0.05,,,25,-1
29,0.05,,,25,-1
13,,,,1,3
0,,,,-1,-1
1,,,,22,2
44,,,,-1,-1
17,,,,-1,-1
119,0.02,,,16,-1
6,0.03,,,16,-1
30,0.05,,,16,-1
21,,,,3,4
1,,,,-1,-1
14,,,,-1,-1
17,,,,1,3
23,,,,-1,-1
17,,,,3,4
14,,,,1,3
1,,,,-1,-1
13,,,,-1,-1
23,,,,-1,-1
17,,,,3,4
21,,,,3,4
7,,,,-1,-1
14,,,,-1,-1
14,,,,-1,-1
13,,,,-1,-1
122,0.012,,,16,-1
16,0.01,,,16,-1
37,0.02,,,16,-1
17,,,,3,4
24,,,,3,4
21,,,,-1,-1
23,,,,3,4
7,,,,-1,-1
123,0.01,,,15,-1
16,0.01,,,15,-1
34,0.01,,,15,-1
21,,,,-1,-1
13,,,,-1,-1
18,0.01,,,23,-1
21,,,,3,4
13,,,,20,1
23,,,,-1,-1
21,,,,3,5
17,,,,3,4
26,,,,-1,-1
26,,,,-1,-1
24,,,,-1,-1
127,0.01,,,25,-1
27,0.01,,,25,-1
48,0.015,,,25,-1
26,,,,0,-1
23,,,,3,4
24,,,,-1,-1
25,0.03,,,27,-1
22,0.02,,,27,-1
24,,,,-1,-1
33,,,,-1,-1
23,,,,3,4
23,,,,7,-1
132,0.01,,,16,-1
35,0.01,,,16,-1
54,0.01,,,16,-1
24,,,,7,-1
135,0.02,,,16,-1
36,0.01,,,16,-1
55,0.01,,,16,-1
31,,,,-1,-1
38,,,,-1,-1
24,,,,3,4
26,,,,6,11
41,0.01,,,23,-1
49,,,,-1,-1
24,,,,7,-1
57,0.03,,,25,-1
136,0.015,,,25,-1
35,0.01,,,25,-1
31,,,,7,-1
45,,,,-1,-1
2,0.016,,,2,-1
40,0.01,,,2,-1
58,0.015,,,2,-1
24,,,,-1,-1
38,,,,-1,-1
26,,,,6,11
31,,,,7,6
5,0.05,,,18,-1
42,0.02,,,18,-1
63,0.016,,,18,-1
47,,,,-1,-1
44,,,,8,-1
5,0.01,,,25,-1
46,0.02,,,25,-1
66,0.01,,,25,-1
59,,,,-1,-1
44,,,,8,7
50,0.01,,,23,-1
45,,,,8,-1
8,0.02,,,25,-1
55,0.015,,,25,-1
74,0.02,,,25,-1
31,,,,4,-1
51,,,,-1,-1
12,0.01,,,15,-1
55,0.015,,,15,-1
74,0.02,,,15,-1
49,,,,8,-1
52,,,,-1,-1
9,0.05,,,18,-1
62,0.05,,,18,-1
78,0.05,,,18,-1
45,,,,5,6
49,,,,8,-1
51,,,,-1,-1
10,,,,-1,-1
61,,,,-1,-1
77,,,,-1,-1
49,,,,8,-1
60,0.02,,,23,-1
51,,,,-1,-1
64,,,,-1,-1
11,0.01,,,25,-1
61,0.01,,,25,-1
76,0.02,,,25,-1
51,,,,9,12
70,,,,-1,-1
65,,,,10,13
69,,,,-1,-1
49,,,,-1,-1
69,,,,-1,-1
56,,,,-1,-1
73,,,,-1,-1
64,,,,-1,-1
15,,,,-1,-1
68,,,,-1,-1
85,,,,-1,-1
138,,,,8,-1
79,,,,-1,-1
65,,,,-1,-1
19,,,,-1,-1
72,,,,-1,-1
84,,,,-1,-1
52,,,,-1,-1
70,,,,-1,-1
79,,,,-1,-1
79,,,,-1,-1
139,,,,-1,-1
140,,,,-1,-1
32,,,,-1,-1
82,,,,-1,-1
91,,,,-1,-1
140,,,,-1,-1
140,,,,-1,-1
81,,,,-1,-1
39,,,,-1,-1
88,,,,-1,-1
94,,,,-1,-1
147,,,,-1,-1
43,,,,-1,-1
89,,,,-1,-1
93,,,,-1,-1
75,,,,-1,-1
81,,,,-1,-1
146,,,,-1,-1
140,,,,-1,-1
53,,,,-1,-1
92,,,,-1,-1
98,,,,-1,-1
70,,,,-1,-1
70,,,,-1,-1
67,,,,-1,-1
95,,,,-1,-1
105,,,,-1,-1
151,,,,-1,-1
146,,,,-1,-1
96,,,,-1,-1
71,,,,-1,-1
97,,,,-1,-1
101,,,,-1,-1
140,,,,-1,-1
146,,,,-1,-1
99,,,,-1,-1
146,,,,-1,-1
146,,,,-1,-1
80,0.01,,,25,-1
100,0.01,,,25,-1
108,0.03,,,25,-1
156,,,,-1,-1
140,,,,-1,-1
146,,,,-1,-1
146,,,,-1,-1
83,0.01,,,25,-1
106,0.02,,,25,-1
109,0.03,,,25,-1
87,0.02,,,25,-1
102,0.05,,,25,-1
110,0.05,,,25,-1
104,0.15,,,7,-1
146,,,,-1,-1
90,0.02,,,25,-1
103,0.03,,,25,-1
111,0.05,,,25,-1
107,0.07,,,7,-1
146,,,,-1,-1
141,,,,-1,-1
147,,,,-1,-1
147,,,,-1,-1
147,,,,-1,-1
147,,,,-1,-1
147,,,,-1,-1
147,,,,-1,-1
147,,,,-1,-1
147,,,,-1,-1
142,,,,-1,-1
145,,,,-1,-1
147,,,,-1,-1
147,,,,-1,-1
147,,,,-1,-1
147,,,,-1,-1
147,,,,-1,-1
146,,,,-1,-1
147,,,,-1,-1
147,,,,-1,-1
147,,,,-1,-1
147,,,,-1,-1
151,,,,-1,-1
147,,,,-1,-1
147,,,,-1,-1
151,,,,-1,-1
152,,,,-1,-1
151,,,,-1,-1
151,,,,-1,-1
151,,,,-1,-1
147,,,,-1,-1
151,,,,-1,-1
86,,,,-1,-1
147,,,,-1,-1
151,,,,-1,-1
147,,,,-1,-1
151,,,,-1,-1
147,,,,-1,-1
153,,,,-1,-1
151,,,,-1,-1
147,,,,-1,-1
153,,,,-1,-1
151,,,,-1,-1
154,,,,-1,-1
154,,,,-1,-1
147,,,,-1,-1
147,,,,-1,-1
151,,,,-1,-1
147,,,,-1,-1
151,,,,-1,-1
154,,,,-1,-1
151,,,,-1,-1
147,,,,-1,-1
149,,,,-1,-1
149,,,,-1,-1
153,,,,-1,-1
147,,,,-1,-1
147,,,,-1,-1
151,,,,-1,-1
151,,,,-1,-1
151,,,,-1,-1
152,,,,-1,-1
152,,,,-1,-1
155,,,,-1,-1
153,,,,-1,-1
153,,,,-1,-1
151,,,,-1,-1
153,,,,-1,-1
151,,,,-1,-1
153,,,,-1,-1
152,,,,-1,-1
151,,,,-1,-1
150,,,,-1,-1
151,,,,-1,-1
151,,,,-1,-1
144,,,,-1,-1
151,,,,-1,-1
152,,,,-1,-1
153,,,,-1,-1
156,,,,-1,-1
151,,,,-1,-1
151,,,,-1,-1
151,,,,-1,-1
153,,,,-1,-1
149,,,,-1,-1
152,,,,-1,-1
147,,,,-1,-1
152,,,,-1,-1
152,,,,-1,-1
151,,,,-1,-1
151,,,,-1,-1
152,,,,-1,-1
152,,,,-1,-1
151,,,,-1,-1
151,,,,-1,-1
152,,,,-1,-1
156,,,,-1,-1
151,,,,-1,-1
151,,,,-1,-1
152,,,,-1,-1
151,,,,-1,-1
152,,,,-1,-1
147,,,,-1,-1
152,,,,-1,-1
147,,,,-1,-1
152,,,,28,-1
151,,,,28,-1
151,,,,28,-1
154,,,,28,-1
