Magnitude,Uncertainty,Kmag,Cmag,Comp Star 1,Comp Star 2
17,,,,8,-1
19,,,,-1,-1
17,,,,8,7
14,,,,9,-1
139,,,,-1,-1
11,,,,7,5
6,,,,26,4
7,,,,5,5
7,,,,6,15
134,,,,-1,-1
19,,,,-1,-1
139,,,,26,4
137,,,,24,14
133,,,,26,-1
136,,,,26,2
139,,,,-1,-1
0,,,,26,3
0,,,,26,4
2,,,,6,15
5,,,,6,15
5,,,,26,5
137,,,,-1,-1
7,,,,4,0
18,,,,4,0
5,,,,6,15
11,,,,-1,-1
11,,,,7,5
14,,,,5,5
11,,,,7,5
7,,,,8,-1
11,,,,3,-1
11,,,,7,5
12,,,,6,15
5,,,,5,-1
11,,,,-1,-1
5,,,,-1,-1
11,,,,-1,-1
12,,,,-1,-1
16,,,,-1,-1
11,,,,7,5
6,,,,26,4
7,,,,7,5
12,,,,6,15
0,,,,-1,-1
5,,,,-1,-1
14,,,,8,-1
12,,,,-1,-1
4,,,,8,-1
7,,,,7,5
3,,,,26,4
7,,,,6,15
2,,,,5,-1
137,,,,-1,-1
137,,,,23,-1
139,,,,-1,-1
12,,,,-1,-1
138,,,,26,3
5,,,,7,3
5,,,,6,15
139,,,,5,-1
137,,,,-1,-1
0,,,,1,-1
135,,,,-1,-1
139,,,,6,15
133,,,,26,-1
1,,,,26,3
139,,,,6,15
133,,,,26,-1
137,,,,-1,-1
140,,,,-1,-1
2,,,,26,4
141,,,,-1,-1
1,,,,26,3
2,,,,6,15
139,,,,5,-1
18,,,,-1,-1
131,,,,-1,-1
12,,,,6,15
7,,,,5,-1
11,,,,-1,-1
12,,,,25,9
14,,,,7,5
14,,,,6,15
14,,,,25,9
14,,,,25,9
14,,,,7,5
14,,,,6,15
12,,,,8,-1
11,,,,25,9
12,,,,7,5
10,,,,8,1
132,,,,-1,-1
9,,,,8,1
11,,,,2,-1
11,,,,6,15
8,,,,8,1
11,,,,2,-1
12,,,,25,9
13,,,,8,1
15,,,,8,1
20,,,,8,1
21,,,,8,1
24,,,,11,7
26,,,,8,1
27,,,,8,1
28,,,,8,1
26,,,,12,6
30,,,,8,1
33,,,,12,6
32,,,,15,10
34,,,,8,1
31,,,,8,1
33,,,,12,6
40,,,,8,1
44,,,,8,1
49,,,,8,1
49,,,,8,1
55,,,,16,11
25,,,,-1,-1
51,,,,0,1
72,,,,-1,-1
49,,,,8,1
47,,,,8,1
32,,,,12,8
52,,,,8,-1
39,,,,12,6
55,,,,12,-1
41,,,,8,1
19,,,,-1,-1
36,,,,8,1
35,,,,8,1
38,,,,16,11
39,,,,12,6
22,,,,11,-1
52,,,,8,1
72,,,,-1,-1
56,,,,8,1
82,,,,-1,-1
57,,,,8,1
131,,,,-1,-1
45,,,,16,11
106,,,,-1,-1
72,,,,-1,-1
46,,,,12,6
59,,,,8,1
62,,,,8,1
38,,,,-1,-1
144,,,,13,-1
32,,,,10,-1
45,,,,16,11
38,,,,13,-1
23,,,,-1,-1
54,,,,8,1
25,,,,-1,-1
82,,,,-1,-1
58,,,,8,1
53,,,,8,1
38,,,,10,-1
45,,,,16,11
66,,,,12,6
45,,,,12,-1
38,,,,13,-1
108,,,,-1,-1
69,,,,8,1
29,,,,-1,-1
82,,,,-1,-1
68,,,,8,1
32,,,,10,-1
66,,,,12,6
38,,,,14,13
75,,,,8,1
104,,,,-1,-1
38,,,,-1,-1
90,,,,-1,-1
77,,,,8,1
7,,,,-1,-1
65,,,,17,12
73,,,,12,6
108,,,,-1,-1
74,,,,8,1
82,,,,-1,-1
32,,,,13,-1
70,,,,8,1
45,,,,17,12
45,,,,13,-1
89,,,,8,1
88,,,,8,1
65,,,,17,12
94,,,,-1,-1
45,,,,13,-1
93,,,,8,1
82,,,,-1,-1
92,,,,8,1
55,,,,17,12
90,,,,-1,-1
45,,,,13,-1
71,,,,8,1
74,,,,8,1
72,,,,10,-1
2,,,,-1,-1
72,,,,12,8
56,,,,12,6
67,,,,8,1
72,,,,-1,-1
45,,,,13,-1
94,,,,-1,-1
62,,,,8,1
5,,,,-1,-1
43,,,,8,1
29,,,,13,-1
42,,,,8,1
29,,,,13,-1
44,,,,8,1
50,,,,8,1
5,,,,-1,-1
55,,,,17,12
54,,,,8,1
32,,,,13,-1
72,,,,-1,-1
56,,,,8,1
47,,,,8,1
59,,,,8,1
32,,,,13,-1
63,,,,8,1
83,,,,11,5
84,,,,8,1
45,,,,13,-1
102,,,,-1,-1
81,,,,8,1
73,,,,12,6
83,,,,8,1
45,,,,-1,-1
38,,,,13,-1
79,,,,8,1
83,,,,12,6
91,,,,8,1
38,,,,13,-1
85,,,,8,1
83,,,,8,1
142,,,,-1,-1
81,,,,8,1
45,,,,13,-1
150,,,,-1,-1
80,,,,8,1
98,,,,8,1
45,,,,13,-1
98,,,,8,1
101,,,,8,1
65,,,,13,-1
100,,,,22,1
87,,,,8,1
69,,,,8,1
71,,,,8,1
88,,,,8,1
88,,,,8,1
77,,,,8,1
76,,,,8,1
68,,,,8,1
82,,,,-1,-1
102,,,,-1,-1
61,,,,8,1
55,,,,-1,-1
65,,,,-1,-1
99,,,,-1,-1
82,,,,-1,-1
60,,,,8,1
64,,,,8,1
82,,,,-1,-1
78,,,,8,1
99,,,,-1,-1
102,,,,-1,-1
48,,,,8,1
86,,,,8,1
99,,,,-1,-1
94,,,,-1,-1
95,,,,8,1
104,,,,-1,-1
102,,,,-1,-1
106,,,,-1,-1
37,,,,8,1
32,,,,-1,-1
108,,,,-1,-1
96,,,,8,1
97,,,,8,1
103,,,,8,1
107,,,,8,1
120,,,,8,1
119,,,,8,1
109,,,,8,1
114,,,,8,1
118,,,,8,1
113,,,,8,1
123,,,,-1,-1
116,,,,8,1
150,,,,-1,-1
110,,,,-1,-1
117,,,,8,1
123,,,,-1,-1
115,,,,8,1
112,,,,8,1
106,,,,-1,-1
110,,,,-1,-1
111,,,,8,1
