Magnitude,Uncertainty,Kmag,Cmag,Comp Star 1,Comp Star 2
127,,,,27,20
120,,,,-1,-1
120,,,,16,19
114,0.001,,,18,-1
129,0.003,,,0,-1
123,,,,-1,-1
113,0.004,,,18,-1
131,0.005,,,0,-1
119,,,,19,0
115,,,,14,12
118,,,,12,1
123,,,,-1,-1
118,,,,14,12
119,,,,16,19
116,0.003,,,23,-1
5,0.006,,,3,-1
119,,,,14,12
117,,,,-1,-1
118,,,,-1,-1
121,,,,19,-1
117,,,,19,-1
112,,,,14,12
117,,,,13,12
117,,,,12,1
118,,,,19,-1
119,,,,15,1
126,,,,19,-1
118,,,,14,12
13,0.002,,,0,-1
122,0.002,,,18,-1
124,0.003,,,23,-1
15,0.01,,,3,-1
119,,,,19,-1
126,,,,25,-1
127,,,,19,3
128,,,,19,3
127,,,,27,20
7,,,,22,5
0,,,,28,14
2,,,,-1,-1
127,,,,19,2
127,,,,19,3
126,,,,19,4
125,,,,24,13
121,,,,14,12
125,,,,19,3
123,,,,19,3
119,,,,19,-1
125,,,,24,13
121,,,,14,12
119,,,,24,14
125,,,,19,3
120,,,,19,3
130,,,,27,20
125,,,,24,13
125,,,,19,3
126,,,,19,-1
123,,,,19,3
2,,,,24,13
7,,,,-1,-1
2,,,,28,14
127,,,,19,3
3,,,,1,-1
0,,,,22,5
3,,,,26,-1
0,,,,29,21
20,,,,-1,-1
2,,,,22,5
7,,,,1,-1
1,0.003,,,23,-1
27,0.007,,,3,-1
126,,,,19,3
7,,,,29,21
4,0.003,,,23,-1
33,0.01,,,3,-1
0,,,,22,5
7,,,,-1,-1
3,,,,22,5
14,,,,4,15
7,,,,28,14
9,,,,1,6
3,,,,22,5
2,,,,24,13
9,,,,29,21
6,0.004,,,18,-1
14,,,,1,6
7,,,,22,5
10,,,,28,14
31,,,,-1,-1
14,,,,1,-1
14,,,,1,6
10,,,,1,6
20,,,,4,15
14,,,,4,15
10,,,,4,16
11,0.003,,,23,-1
46,0.008,,,3,-1
14,,,,1,6
10,,,,4,15
12,0.004,,,23,-1
22,,,,-1,-1
14,,,,1,6
14,,,,4,15
8,0.004,,,23,-1
14,,,,1,6
20,,,,4,15
14,,,,1,6
17,,,,4,15
14,,,,1,6
14,,,,28,14
22,,,,-1,-1
14,,,,1,6
20,,,,5,16
19,0.005,,,23,-1
14,,,,1,6
20,,,,4,15
21,0.006,,,23,-1
14,,,,1,6
25,0.006,,,23,-1
58,0.02,,,3,-1
20,,,,1,6
29,0.01,,,23,-1
26,,,,2,7
32,0.01,,,23,-1
66,0.04,,,3,-1
35,,,,6,10
40,,,,6,10
30,0.003,,,23,-1
64,0.007,,,3,-1
35,,,,-1,-1
35,,,,10,22
22,,,,2,7
44,,,,7,10
38,0.006,,,23,-1
75,0.02,,,3,-1
44,,,,-1,-1
44,,,,10,22
36,0.01,,,23,-1
48,,,,8,18
44,,,,9,17
48,,,,6,10
16,0.02,,,17,8
47,0.02,,,20,9
67,0.02,,,21,11
54,,,,6,10
48,,,,8,18
44,,,,7,10
44,,,,6,10
40,,,,6,10
34,0.005,,,23,-1
44,,,,-1,-1
39,0.005,,,23,-1
44,,,,9,17
48,,,,-1,-1
44,,,,6,10
41,,,,9,17
44,,,,6,10
44,,,,8,18
44,,,,8,18
43,0.005,,,23,-1
44,,,,6,10
49,0.006,,,23,-1
23,0.02,,,17,8
52,0.02,,,20,9
70,0.02,,,21,11
59,,,,-1,-1
42,0.005,,,23,-1
18,0.02,,,17,8
45,0.02,,,20,9
62,0.02,,,21,11
48,,,,6,10
55,0.007,,,23,-1
80,0.01,,,3,-1
28,0.02,,,17,8
57,0.02,,,20,9
71,0.02,,,21,11
54,,,,8,18
54,,,,10,22
24,0.02,,,17,8
53,0.02,,,20,9
68,0.02,,,21,11
44,,,,6,-1
50,0.02,,,23,-1
40,,,,-1,-1
48,,,,10,22
59,,,,6,10
48,,,,10,22
51,0.006,,,23,-1
56,0.007,,,23,-1
132,,,,9,-1
57,0.007,,,23,-1
33,0.02,,,17,8
60,0.02,,,20,9
73,0.02,,,21,11
59,,,,-1,-1
63,0.01,,,23,-1
37,0.03,,,17,8
65,0.02,,,20,9
77,0.03,,,21,11
59,,,,-1,-1
61,0.02,,,23,-1
74,,,,6,10
78,0.04,,,23,-1
61,,,,10,22
134,,,,-1,-1
61,,,,10,22
134,,,,-1,-1
69,0.03,,,17,8
91,0.03,,,21,11
70,0.03,,,17,8
89,0.02,,,20,9
92,0.03,,,21,11
72,0.03,,,17,8
90,0.02,,,20,9
88,0.02,,,23,-1
86,0.02,,,23,-1
81,,,,-1,-1
82,0.03,,,17,8
76,0.03,,,17,8
84,0.03,,,20,9
79,0.03,,,17,8
85,0.03,,,20,9
94,0.02,,,18,-1
83,0.03,,,17,8
95,0.03,,,20,9
87,0.03,,,17,8
93,0.03,,,17,8
96,0.03,,,20,9
133,,,,10,22
98,0.03,,,17,8
109,0.03,,,20,9
97,0.03,,,17,8
111,0.03,,,20,9
105,0.03,,,17,8
104,0.03,,,17,8
108,0.03,,,17,8
101,0.03,,,17,8
100,0.03,,,17,8
134,,,,-1,-1
106,0.03,,,17,8
99,0.03,,,17,8
102,0.03,,,17,8
134,,,,-1,-1
107,0.03,,,17,8
103,0.03,,,17,8
110,0.03,,,17,8
136,,,,11,-1
135,,,,-1,-1
