Magnitude,Uncertainty,Kmag,Cmag,Comp Star 1,Comp Star 2
43,,,,-1,-1
51,,,,18,17
52,,,,48,-1
61,,,,13,-1
57,,,,3,-1
39,,,,2,-1
43,,,,-1,-1
43,,,,-1,-1
43,,,,16,17
52,,,,-1,-1
44,,,,16,17
41,,,,-1,-1
42,,,,7,38
43,,,,-1,-1
53,,,,27,12
45,,,,7,38
46,,,,7,38
48,,,,7,38
51,,,,7,38
50,,,,7,38
49,,,,46,4
47,,,,18,17
43,,,,16,13
44,,,,-1,-1
47,,,,-1,-1
51,,,,-1,-1
53,,,,-1,-1
52,,,,-1,-1
55,,,,16,22
44,,,,16,14
43,,,,16,13
53,,,,18,17
53,,,,16,17
53,,,,18,17
52,,,,23,40
52,,,,31,17
53,,,,18,17
52,,,,-1,-1
52,,,,17,17
53,,,,27,12
52,,,,25,11
53,,,,18,17
51,,,,25,-1
56,,,,16,23
53,,,,-1,-1
59,,,,25,22
52,,,,-1,-1
53,,,,19,-1
51,,,,-1,-1
55,,,,25,-1
52,,,,18,11
53,,,,25,-1
56,,,,25,19
51,,,,-1,-1
52,,,,16,17
61,,,,28,21
53,,,,18,17
64,,,,-1,-1
55,,,,18,18
44,,,,18,11
59,,,,25,22
64,,,,30,23
61,,,,28,21
57,,,,25,25
58,,,,-1,-1
57,,,,-1,-1
57,,,,-1,-1
59,,,,16,23
56,,,,-1,-1
53,,,,25,13
53,,,,-1,-1
52,,,,25,11
53,,,,18,17
55,,,,-1,-1
51,,,,25,11
53,,,,20,-1
51,,,,25,11
56,,,,-1,-1
57,,,,-1,-1
56,,,,-1,-1
53,,,,18,17
55,,,,16,22
52,,,,22,17
53,,,,18,17
53,,,,25,11
53,,,,18,17
52,,,,16,16
57,,,,-1,-1
52,,,,-1,-1
52,,,,25,19
56,,,,25,22
53,,,,-1,-1
52,,,,-1,-1
64,,,,-1,-1
40,,,,45,27
54,,,,7,38
53,,,,18,17
53,,,,16,17
53,,,,18,18
53,,,,18,17
57,,,,25,19
57,,,,-1,-1
56,,,,16,23
53,,,,-1,-1
56,,,,47,-1
53,,,,25,11
57,,,,25,22
53,,,,25,11
62,,,,16,28
59,,,,28,21
57,,,,-1,-1
58,,,,-1,-1
56,,,,-1,-1
63,,,,16,22
57,,,,25,19
57,,,,25,22
59,,,,28,21
59,,,,25,22
64,,,,-1,-1
59,,,,28,21
61,,,,28,21
59,,,,-1,-1
57,,,,25,19
59,,,,25,22
60,,,,7,38
61,,,,-1,-1
57,,,,30,23
61,,,,28,21
62,,,,28,21
55,,,,18,17
52,,,,-1,-1
53,,,,25,13
52,,,,19,-1
51,,,,18,17
57,,,,25,-1
47,,,,-1,-1
55,,,,25,19
59,,,,-1,-1
55,,,,25,22
55,,,,-1,-1
57,,,,25,19
55,,,,24,19
56,,,,25,19
52,,,,-1,-1
57,,,,25,19
53,,,,21,-1
53,,,,-1,-1
55,,,,18,18
53,,,,18,17
53,,,,-1,-1
57,,,,-1,-1
51,,,,-1,-1
53,,,,-1,-1
56,,,,16,22
57,,,,-1,-1
59,,,,-1,-1
56,,,,25,19
58,,,,25,19
56,,,,30,13
57,,,,26,-1
56,,,,-1,-1
61,,,,-1,-1
58,,,,25,-1
61,,,,-1,-1
55,,,,-1,-1
53,,,,18,17
61,,,,25,19
64,,,,-1,-1
62,,,,25,22
63,,,,-1,-1
59,,,,25,22
56,,,,25,20
61,,,,30,23
64,,,,25,22
61,,,,25,19
61,,,,25,21
63,,,,-1,-1
56,,,,25,19
57,,,,-1,-1
53,,,,-1,-1
55,,,,25,19
51,,,,-1,-1
56,,,,16,17
55,,,,18,17
61,,,,-1,-1
53,,,,16,22
53,,,,18,17
53,,,,18,17
68,,,,-1,-1
63,,,,33,17
57,,,,25,19
59,,,,-1,-1
56,,,,25,19
57,,,,25,19
58,,,,-1,-1
53,,,,-1,-1
55,,,,-1,-1
57,,,,-1,-1
59,,,,-1,-1
56,,,,-1,-1
57,,,,-1,-1
56,,,,25,19
58,,,,-1,-1
57,,,,-1,-1
57,,,,26,-1
57,,,,-1,-1
73,,,,-1,-1
56,,,,-1,-1
59,,,,28,21
58,,,,-1,-1
58,,,,-1,-1
58,,,,25,22
61,,,,-1,-1
53,,,,-1,-1
55,,,,18,17
56,,,,-1,-1
63,,,,-1,-1
57,,,,25,15
58,,,,-1,-1
55,,,,25,19
59,,,,-1,-1
53,,,,25,19
56,,,,-1,-1
57,,,,-1,-1
58,,,,-1,-1
56,,,,25,19
57,,,,25,19
59,,,,28,21
61,,,,29,-1
57,,,,25,19
58,,,,-1,-1
59,,,,25,22
61,,,,-1,-1
